_id,address,black1,black2,description,end_date,end_time,location,red1,red2,source,start_date,start_time,strike1,strike2,tags,title
EAeRoZwfu4KnEGxCH,"Columbus Park, 500 S. Central Ave., Chicago IL         60644",0,0,"Join musicians from the famed Chicago Philharmonic for a unique outdoor concert experience—as an audience member or performer!Join musicians from the famed Chicago Philharmonic for a unique outdoor concert experience -- as an audience member or performer! Music lovers of all ages are invited to bring their instruments and play alongside professionals, creating an orchestra for a fun symphonic concert. Or just come and enjoy great music in Chicago's backyard.",2015-08-29T05:00:00.000Z,8:00 PM,"{""coordinates"":[-87.7701836,41.8745029],""type"":""Point""}",0,0,parks,2015-08-29T05:00:00.000Z,4:30 PM,0,0,"[""entertainment""]",Chicago Philharmonic at Columbus Ref
EGJRjNNj23oimE6yx,"Wentworth Gardens Park, 3770 S. Wentworth Ave., Chicago IL         60609",0,0,"Joyce Renee Walker supplies piano and vocals in various music genres including gospel, jazz, and rhythm &amp; blues.Joyce Renee Walker supplies piano and vocals in various music genres including gospel, jazz, and rhythm & blues.",2015-08-28T05:00:00.000Z,3:00 PM,"{""coordinates"":[-87.6319029,41.8255045],""type"":""Point""}",0,0,parks,2015-08-28T05:00:00.000Z,1:00 PM,0,0,[],Joyce Renee Walker at Wentworth Gardens
EWX5ZrpSbeHHWy2vW,"1625 W. Chicago Avenue, Chicago, IL 60622",0,0,"Unwind, relax and hang out with friends over some board games and video games!",2016-04-07T05:00:00.000Z,5:00pm,"{""coordinates"":[-87.668496,41.895745],""type"":""Point""}",0,0,library,2016-04-07T05:00:00.000Z,3:00pm,0,0,"[""entertainment""]",Teen Game Room
Ef5kbC3k3RZCr43K4,Chicago,0,0,Chicago White Sox Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-08-27T05:00:00.000Z,7:10 PM,0,0,"[""sports""]",Seattle Mariners at Chicago White Sox
Er4fy75Qi7J4ZD496,"115 S. Pulaski Road, Chicago, IL 60624",0,0,"Join teens in your community for activities and a chance to read and discuss banned, challenged or censored teen books, and the concerns about them. This month we're reading <a id=""ember24539"" href=""/item/show/1243813081"" data-add-title-link=""1243813081"">I Know Why the Caged Bird Sings</a><em> </em>by Maya Angelou. For teens in grades 9 through 12.",2015-08-29T05:00:00.000Z,3:00pm,"{""coordinates"":[-87.725415,41.87934],""type"":""Point""}",0,0,library,2015-08-29T05:00:00.000Z,2:00pm,0,0,"[""entertainment""]",Graphic Content: A Book Club for Teens
ErzMbJMGH8yMnKE4s,"Loyola University Museum of Art, 820 North Michigan Avenue, Chicago, IL 60611, United States",,,"The Loyola University Museum of Art (LUMA) was founded in 2005 on the Water Tower Campus of Loyola University Chicago. LUMA is located on the Magnificent Mile in Lewis Towers, a historic 1926 Gothic Revival building. The museum, with 25,000 square feet contains eight main exhibition galleries, the William G. and Marilyn M. Simpson Lecture Hall, the Solomon Cordwell Buenz Library of Sacred Art and Architecture, the Museum Shop, the Push Pin Gallery, and the Harlan J. Berk Ltd. Works on Paper Gallery. LUMA welcomes new members and volunteers at all levels of participation. 
 https://goo.gl/maps/rbz9z
About: http://www.luc.edu/luma/about/index.shtml


",2015-09-16T03:38:09.964Z,8:00:00 PM,"{""coordinates"":[-87.62515050000002,41.8973263],""type"":""Point""}",,,calendar,2015-09-16T03:38:09.964Z,11:00:00 AM,,,"[""art""]",Loyola University Museum of Art Free
Eu595qKmWvteRz2Qi,Chicago,0,0,Chicago Cubs Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-08-18T05:00:00.000Z,7:05 PM,0,0,"[""sports""]",Detroit Tigers at Chicago Cubs
ExQRksWJLRHyGt9uP,Chicago,0,0,Chicago Cubs Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-09-26T05:00:00.000Z,14:33 PM,0,0,"[""sports""]",Pittsburgh Pirates at Chicago Cubs
ExxBisaEimw7qbEeq,"Harrison Park, 1824 S. Wood St., Chicago IL         60608",0,0,"Join us for our monthly, facilitated, in the moment, community drum circle. Bring a drum, shaker or anything you like the sound of. There are some extra percussion instruments on hand on a first come first serve basis. 
",2015-08-21T05:00:00.000Z,8:30 PM,"{""coordinates"":[-87.67122139999998,41.8570517],""type"":""Point""}",0,0,parks,2015-08-21T05:00:00.000Z,7:00 PM,0,0,"[""art""]",Drum Circle at Mozart
F59WXvrgMRZSLcQ4R,Los Angeles,0,0,Los Angeles Dodgers Tickets,1970-01-01T00:00:00.000Z,NaN:NaN AM,"{""coordinates"":[0,0],""type"":""Point""}",0,0,espn,2015-08-29T05:00:00.000Z,14:33 PM,0,0,"[""sports""]",Chicago Cubs at Los Angeles Dodgers
